Year,Month,Entry,Exit,Riders
2020,Jan,NB,HY, 25 
2020,Jan,NB,SH, 9 
2020,Jan,NB,UC, 19 
2020,Jan,NB,FM, 18 
2020,Jan,NB,CN, 19 
2020,Jan,NB,PH, 21 
2020,Jan,NB,WC, 19 
2020,Jan,NB,LF, 8 
2020,Jan,NB,OR, 9 
2020,Jan,NB,RR, 15 
2020,Jan,NB,OW, 14 
2020,Jan,NB,EM, 675 
2020,Jan,NB,MT, 554 
2020,Jan,NB,PL, 269 
2020,Jan,NB,CC, 375 
2020,Jan,NB,16, 130 
2020,Jan,NB,24, 79 
2020,Jan,NB,GP, 29 
2020,Jan,NB,BP, 33 
2020,Jan,NB,DC, 25 
2020,Jan,NB,CM, 4 
2020,Jan,NB,CV, 7 
2020,Jan,NB,ED, 13 
2020,Jan,NB,NC, 4 
2020,Jan,NB,WP, 7 
2020,Jan,NB,SS, 8 
2020,Jan,NB,SB, 8 
2020,Jan,NB,SO, 70 
2020,Jan,NB,MB, 32 
2020,Jan,NB,WD, 4 
2020,Jan,NB,OA, 22 
2020,Jan,NB,WS, 24 
2020,Jan,NB,ML, -   
2020,Jan,NB,BE, -   
2020,Jan,NB,PC, 2 
2020,Jan,NB,AN, 5 
2020,Jan,BK,RM, 390 
2020,Jan,BK,EN, 707 
2020,Jan,BK,EP, 635 
2020,Jan,BK,NB, 194 
2020,Jan,BK,BK, 42 
2020,Jan,BK,AS, 289 
2020,Jan,BK,MA, 336 
2020,Jan,BK,19, 484 
2020,Jan,BK,12, 417 
2020,Jan,BK,LM, 201 
2020,Jan,BK,FV, 252 
2020,Jan,BK,CL, 122 
2020,Jan,BK,SL, 167 
2020,Jan,BK,BF, 110 
2020,Jan,BK,HY, 116 
2020,Jan,BK,SH, 62 
2020,Jan,BK,UC, 122 
2020,Jan,BK,FM, 113 
2020,Jan,BK,CN, 97 
2020,Jan,BK,PH, 134 
2020,Jan,BK,WC, 105 
2020,Jan,BK,LF, 58 
2020,Jan,BK,OR, 44 
2020,Jan,BK,RR, 48 
2020,Jan,BK,OW, 64 
2020,Jan,BK,EM, 935 
2020,Jan,BK,MT, 721 
2020,Jan,BK,PL, 434 
2020,Jan,BK,CC, 466 
2020,Jan,BK,16, 252 
2020,Jan,BK,24, 197 
2020,Jan,BK,GP, 103 
2020,Jan,BK,BP, 76 
2020,Jan,BK,DC, 80 
2020,Jan,BK,CM, 31 
2020,Jan,BK,CV, 47 
2020,Jan,BK,ED, 104 
2020,Jan,BK,NC, 28 
2020,Jan,BK,WP, 67 
2020,Jan,BK,SS, 28 
2020,Jan,BK,SB, 29 
2020,Jan,BK,SO, 103 
2020,Jan,BK,MB, 117 
2020,Jan,BK,WD, 39 
2020,Jan,BK,OA, 41 
2020,Jan,BK,WS, 141 
2020,Jan,BK,ML, -   
2020,Jan,BK,BE, -   
2020,Jan,BK,PC, 22 
2020,Jan,BK,AN, 45 
2020,Jan,AS,RM, 93 
2020,Jan,AS,EN, 122 
2020,Jan,AS,EP, 77 
2020,Jan,AS,NB, 56 
2020,Jan,AS,BK, 313 
2020,Jan,AS,AS, 15 
2020,Jan,AS,MA, 100 
2020,Jan,AS,19, 257 
2020,Jan,AS,12, 244 
2020,Jan,AS,LM, 66 
2020,Jan,AS,FV, 95 
2020,Jan,AS,CL, 54 
2020,Jan,AS,SL, 52 
2020,Jan,AS,BF, 30 
2020,Jan,AS,HY, 37 
2020,Jan,AS,SH, 16 
2020,Jan,AS,UC, 36 
2020,Jan,AS,FM, 31 
2020,Jan,AS,CN, 21 
2020,Jan,AS,PH, 26 
2020,Jan,AS,WC, 21 
2020,Jan,AS,LF, 7 
2020,Jan,AS,OR, 7 
2020,Jan,AS,RR, 12 
2020,Jan,AS,OW, 23 
2020,Jan,AS,EM, 861 
2020,Jan,AS,MT, 770 
2020,Jan,AS,PL, 328 
2020,Jan,AS,CC, 469 
2020,Jan,AS,16, 201 
2020,Jan,AS,24, 108 
2020,Jan,AS,GP, 29 
2020,Jan,AS,BP, 35 
2020,Jan,AS,DC, 33 
2020,Jan,AS,CM, 8 
2020,Jan,AS,CV, 9 
2020,Jan,AS,ED, 25 
2020,Jan,AS,NC, 7 
2020,Jan,AS,WP, 13 
2020,Jan,AS,SS, 11 
2020,Jan,AS,SB, 15 
2020,Jan,AS,SO, 48 
2020,Jan,AS,MB, 35 
2020,Jan,AS,WD, 10 
2020,Jan,AS,OA, 16 
2020,Jan,AS,WS, 30 
2020,Jan,AS,ML, -   
2020,Jan,AS,BE, -   
2020,Jan,AS,PC, 5 
2020,Jan,AS,AN, 11 
2020,Jan,MA,RM, 140 
2020,Jan,MA,EN, 250 
2020,Jan,MA,EP, 134 
2020,Jan,MA,NB, 95 
2020,Jan,MA,BK, 351 
2020,Jan,MA,AS, 99 
2020,Jan,MA,MA, 50 
2020,Jan,MA,19, 216 
2020,Jan,MA,12, 256 
2020,Jan,MA,LM, 67 
2020,Jan,MA,FV, 156 
2020,Jan,MA,CL, 120 
2020,Jan,MA,SL, 115 
2020,Jan,MA,BF, 87 
2020,Jan,MA,HY, 91 
2020,Jan,MA,SH, 45 
2020,Jan,MA,UC, 74 
2020,Jan,MA,FM, 76 
2020,Jan,MA,CN, 136 
2020,Jan,MA,PH, 166 
2020,Jan,MA,WC, 156 
2020,Jan,MA,LF, 61 
2020,Jan,MA,OR, 40 
2020,Jan,MA,RR, 68 
2020,Jan,MA,OW, 43 
2020,Jan,MA,EM," 1,406 "
2020,Jan,MA,MT," 1,237 "
2020,Jan,MA,PL, 599 
2020,Jan,MA,CC, 794 
2020,Jan,MA,16, 362 
2020,Jan,MA,24, 187 
2020,Jan,MA,GP, 80 
2020,Jan,MA,BP, 74 
2020,Jan,MA,DC, 71 
2020,Jan,MA,CM, 28 
2020,Jan,MA,CV, 25 
2020,Jan,MA,ED, 59 
2020,Jan,MA,NC, 38 
2020,Jan,MA,WP, 133 
2020,Jan,MA,SS, 23 
2020,Jan,MA,SB, 24 
2020,Jan,MA,SO, 94 
2020,Jan,MA,MB, 61 
2020,Jan,MA,WD, 25 
2020,Jan,MA,OA, 21 
2020,Jan,MA,WS, 63 
2020,Jan,MA,ML, -   
2020,Jan,MA,BE, -   
2020,Jan,MA,PC, 48 
2020,Jan,MA,AN, 103 
2020,Jan,19,RM, 169 
2020,Jan,19,EN, 433 
2020,Jan,19,EP, 289 
2020,Jan,19,NB, 247 
2020,Jan,19,BK, 534 
2020,Jan,19,AS, 258 
2020,Jan,19,MA, 221 
2020,Jan,19,19, 35 
2020,Jan,19,12, 57 
2020,Jan,19,LM, 36 
2020,Jan,19,FV, 195 
2020,Jan,19,CL, 149 
2020,Jan,19,SL, 230 
2020,Jan,19,BF, 225 
2020,Jan,19,HY, 201 
2020,Jan,19,SH, 138 
2020,Jan,19,UC, 206 
2020,Jan,19,FM, 246 
2020,Jan,19,CN, 295 
2020,Jan,19,PH, 383 
2020,Jan,19,WC, 327 
2020,Jan,19,LF, 170 
2020,Jan,19,OR, 113 
2020,Jan,19,RR, 207 
2020,Jan,19,OW, 61 
2020,Jan,19,EM," 2,079 "
2020,Jan,19,MT," 1,641 "
2020,Jan,19,PL, 793 
2020,Jan,19,CC, 885 
2020,Jan,19,16, 447 
2020,Jan,19,24, 293 
2020,Jan,19,GP, 152 
2020,Jan,19,BP, 130 
2020,Jan,19,DC, 135 
2020,Jan,19,CM, 77 
2020,Jan,19,CV, 86 
2020,Jan,19,ED, 229 
2020,Jan,19,NC, 115 
2020,Jan,19,WP, 162 
2020,Jan,19,SS, 66 
2020,Jan,19,SB, 62 
2020,Jan,19,SO, 88 
2020,Jan,19,MB, 127 
2020,Jan,19,WD, 114 
2020,Jan,19,OA, 31 
2020,Jan,19,WS, 215 
2020,Jan,19,ML, -   
2020,Jan,19,BE, -   
2020,Jan,19,PC, 51 
2020,Jan,19,AN, 122 
2020,Jan,12,RM, 183 
2020,Jan,12,EN, 559 
2020,Jan,12,EP, 336 
2020,Jan,12,NB, 257 
2020,Jan,12,BK, 489 
2020,Jan,12,AS, 259 
2020,Jan,12,MA, 268 
2020,Jan,12,19, 64 
2020,Jan,12,12, 48 
2020,Jan,12,LM, 34 
2020,Jan,12,FV, 239 
2020,Jan,12,CL, 232 
2020,Jan,12,SL, 341 
2020,Jan,12,BF, 309 
2020,Jan,12,HY, 266 
2020,Jan,12,SH, 170 
2020,Jan,12,UC, 227 
2020,Jan,12,FM, 267 
2020,Jan,12,CN, 306 
2020,Jan,12,PH, 462 
2020,Jan,12,WC, 344 
2020,Jan,12,LF, 163 
2020,Jan,12,OR, 123 
2020,Jan,12,RR, 225 
2020,Jan,12,OW, 99 
2020,Jan,12,EM," 1,742 "
2020,Jan,12,MT," 1,189 "
2020,Jan,12,PL, 745 
2020,Jan,12,CC, 723 
2020,Jan,12,16, 311 
2020,Jan,12,24, 268 
2020,Jan,12,GP, 166 
2020,Jan,12,BP, 156 
2020,Jan,12,DC, 192 
2020,Jan,12,CM, 119 
2020,Jan,12,CV, 108 
2020,Jan,12,ED, 288 
2020,Jan,12,NC, 124 
2020,Jan,12,WP, 222 
2020,Jan,12,SS, 95 
2020,Jan,12,SB, 80 
2020,Jan,12,SO, 106 
2020,Jan,12,MB, 137 
2020,Jan,12,WD, 135 
2020,Jan,12,OA, 44 
2020,Jan,12,WS, 200 
2020,Jan,12,ML, -   
2020,Jan,12,BE, -   
2020,Jan,12,PC, 57 
2020,Jan,12,AN, 169 
2020,Jan,LM,RM, 46 
2020,Jan,LM,EN, 82 
2020,Jan,LM,EP, 54 
2020,Jan,LM,NB, 46 
2020,Jan,LM,BK, 205 
2020,Jan,LM,AS, 61 
2020,Jan,LM,MA, 71 
2020,Jan,LM,19, 36 
2020,Jan,LM,12, 29 
2020,Jan,LM,LM, 21 
2020,Jan,LM,FV, 145 
2020,Jan,LM,CL, 147 
2020,Jan,LM,SL, 285 
2020,Jan,LM,BF, 222 
2020,Jan,LM,HY, 137 
2020,Jan,LM,SH, 71 
2020,Jan,LM,UC, 109 
2020,Jan,LM,FM, 94 
2020,Jan,LM,CN, 30 
2020,Jan,LM,PH, 24 
2020,Jan,LM,WC, 26 
2020,Jan,LM,LF, 10 
2020,Jan,LM,OR, 6 
2020,Jan,LM,RR, 28 
2020,Jan,LM,OW, 29 
2020,Jan,LM,EM," 1,239 "
2020,Jan,LM,MT," 1,147 "
2020,Jan,LM,PL, 553 
2020,Jan,LM,CC, 582 
2020,Jan,LM,16, 241 
2020,Jan,LM,24, 125 
2020,Jan,LM,GP, 50 
2020,Jan,LM,BP, 75 
2020,Jan,LM,DC, 66 
2020,Jan,LM,CM, 9 
2020,Jan,LM,CV, 108 
2020,Jan,LM,ED, 173 
2020,Jan,LM,NC, 6 
2020,Jan,LM,WP, 19 
2020,Jan,LM,SS, 12 
