Year,Month,Entry,Exit,Riders
2010,Jan,RM,RM, 5 
2010,Jan,RM,EN, 129 
2010,Jan,RM,EP, 106 
2010,Jan,RM,NB, 77 
2010,Jan,RM,BK, 382 
2010,Jan,RM,AS, 75 
2010,Jan,RM,MA, 149 
2010,Jan,RM,19, 139 
2010,Jan,RM,12, 190 
2010,Jan,RM,LM, 33 
2010,Jan,RM,FV, 105 
2010,Jan,RM,CL, 69 
2010,Jan,RM,SL, 40 
2010,Jan,RM,BF, 34 
2010,Jan,RM,HY, 37 
2010,Jan,RM,SH, 18 
2010,Jan,RM,UC, 16 
2010,Jan,RM,FM, 33 
2010,Jan,RM,CN, 26 
2010,Jan,RM,PH, 13 
2010,Jan,RM,WC, 21 
2010,Jan,RM,LF, 8 
2010,Jan,RM,OR, 7 
2010,Jan,RM,RR, 22 
2010,Jan,RM,OW, 27 
2010,Jan,RM,EM, 256 
2010,Jan,RM,MT, 223 
2010,Jan,RM,PL, 225 
2010,Jan,RM,CC, 186 
2010,Jan,RM,16, 96 
2010,Jan,RM,24, 82 
2010,Jan,RM,GP, 28 
2010,Jan,RM,BP, 54 
2010,Jan,RM,DC, 34 
2010,Jan,RM,CM, 14 
2010,Jan,RM,CV, 8 
2010,Jan,RM,ED, 22 
2010,Jan,RM,NC, 5 
2010,Jan,RM,WP, 36 
2010,Jan,RM,SS, 11 
2010,Jan,RM,SB, 11 
2010,Jan,RM,SO, 21 
2010,Jan,RM,MB, 23 
2010,Jan,EN,RM, 108 
2010,Jan,EN,EN, 11 
2010,Jan,EN,EP, 83 
2010,Jan,EN,NB, 66 
2010,Jan,EN,BK, 800 
2010,Jan,EN,AS, 103 
2010,Jan,EN,MA, 266 
2010,Jan,EN,19, 414 
2010,Jan,EN,12, 588 
2010,Jan,EN,LM, 85 
2010,Jan,EN,FV, 125 
2010,Jan,EN,CL, 144 
2010,Jan,EN,SL, 51 
2010,Jan,EN,BF, 45 
2010,Jan,EN,HY, 86 
2010,Jan,EN,SH, 23 
2010,Jan,EN,UC, 34 
2010,Jan,EN,FM, 79 
2010,Jan,EN,CN, 44 
2010,Jan,EN,PH, 24 
2010,Jan,EN,WC, 29 
2010,Jan,EN,LF, 10 
2010,Jan,EN,OR, 13 
2010,Jan,EN,RR, 24 
2010,Jan,EN,OW, 35 
2010,Jan,EN,EM, 758 
2010,Jan,EN,MT, 659 
2010,Jan,EN,PL, 485 
2010,Jan,EN,CC, 493 
2010,Jan,EN,16, 96 
2010,Jan,EN,24, 105 
2010,Jan,EN,GP, 32 
2010,Jan,EN,BP, 84 
2010,Jan,EN,DC, 79 
2010,Jan,EN,CM, 24 
2010,Jan,EN,CV, 8 
2010,Jan,EN,ED, 37 
2010,Jan,EN,NC, 7 
2010,Jan,EN,WP, 41 
2010,Jan,EN,SS, 24 
2010,Jan,EN,SB, 25 
2010,Jan,EN,SO, 38 
2010,Jan,EN,MB, 57 
2010,Jan,EP,RM, 108 
2010,Jan,EP,EN, 101 
2010,Jan,EP,EP, 5 
2010,Jan,EP,NB, 61 
2010,Jan,EP,BK, 581 
2010,Jan,EP,AS, 63 
2010,Jan,EP,MA, 116 
2010,Jan,EP,19, 215 
2010,Jan,EP,12, 271 
2010,Jan,EP,LM, 63 
2010,Jan,EP,FV, 64 
2010,Jan,EP,CL, 57 
2010,Jan,EP,SL, 26 
2010,Jan,EP,BF, 15 
2010,Jan,EP,HY, 31 
2010,Jan,EP,SH, 9 
2010,Jan,EP,UC, 10 
2010,Jan,EP,FM, 36 
2010,Jan,EP,CN, 25 
2010,Jan,EP,PH, 16 
2010,Jan,EP,WC, 25 
2010,Jan,EP,LF, 9 
2010,Jan,EP,OR, 8 
2010,Jan,EP,RR, 28 
2010,Jan,EP,OW, 12 
2010,Jan,EP,EM, 545 
2010,Jan,EP,MT, 515 
2010,Jan,EP,PL, 271 
2010,Jan,EP,CC, 271 
2010,Jan,EP,16, 68 
2010,Jan,EP,24, 46 
2010,Jan,EP,GP, 27 
2010,Jan,EP,BP, 35 
2010,Jan,EP,DC, 39 
2010,Jan,EP,CM, 3 
2010,Jan,EP,CV, 4 
2010,Jan,EP,ED, 18 
2010,Jan,EP,NC, 4 
2010,Jan,EP,WP, 11 
2010,Jan,EP,SS, 6 
2010,Jan,EP,SB, 3 
2010,Jan,EP,SO, 40 
2010,Jan,EP,MB, 20 
2010,Jan,NB,RM, 90 
2010,Jan,NB,EN, 83 
2010,Jan,NB,EP, 58 
2010,Jan,NB,NB, 8 
2010,Jan,NB,BK, 204 
2010,Jan,NB,AS, 48 
2010,Jan,NB,MA, 87 
2010,Jan,NB,19, 209 
2010,Jan,NB,12, 245 
2010,Jan,NB,LM, 61 
2010,Jan,NB,FV, 64 
2010,Jan,NB,CL, 58 
2010,Jan,NB,SL, 26 
2010,Jan,NB,BF, 23 
2010,Jan,NB,HY, 22 
2010,Jan,NB,SH, 13 
2010,Jan,NB,UC, 13 
2010,Jan,NB,FM, 32 
2010,Jan,NB,CN, 14 
2010,Jan,NB,PH, 17 
2010,Jan,NB,WC, 17 
2010,Jan,NB,LF, 10 
2010,Jan,NB,OR, 9 
2010,Jan,NB,RR, 17 
2010,Jan,NB,OW, 14 
2010,Jan,NB,EM, 538 
2010,Jan,NB,MT, 491 
2010,Jan,NB,PL, 280 
2010,Jan,NB,CC, 292 
2010,Jan,NB,16, 111 
2010,Jan,NB,24, 71 
2010,Jan,NB,GP, 29 
2010,Jan,NB,BP, 30 
2010,Jan,NB,DC, 31 
2010,Jan,NB,CM, 4 
2010,Jan,NB,CV, 7 
2010,Jan,NB,ED, 15 
2010,Jan,NB,NC, 2 
2010,Jan,NB,WP, 12 
2010,Jan,NB,SS, 6 
2010,Jan,NB,SB, 9 
2010,Jan,NB,SO, 54 
2010,Jan,NB,MB, 26 
2010,Jan,BK,RM, 346 
2010,Jan,BK,EN, 787 
2010,Jan,BK,EP, 587 
2010,Jan,BK,NB, 187 
2010,Jan,BK,BK, 14 
2010,Jan,BK,AS, 287 
2010,Jan,BK,MA, 409 
2010,Jan,BK,19, 375 
2010,Jan,BK,12, 419 
2010,Jan,BK,LM, 196 
2010,Jan,BK,FV, 271 
2010,Jan,BK,CL, 213 
2010,Jan,BK,SL, 138 
2010,Jan,BK,BF, 123 
2010,Jan,BK,HY, 119 
2010,Jan,BK,SH, 74 
2010,Jan,BK,UC, 142 
2010,Jan,BK,FM, 284 
2010,Jan,BK,CN, 107 
2010,Jan,BK,PH, 131 
2010,Jan,BK,WC, 134 
2010,Jan,BK,LF, 83 
2010,Jan,BK,OR, 65 
2010,Jan,BK,RR, 64 
2010,Jan,BK,OW, 80 
2010,Jan,BK,EM, 763 
2010,Jan,BK,MT, 619 
2010,Jan,BK,PL, 686 
2010,Jan,BK,CC, 506 
2010,Jan,BK,16, 295 
2010,Jan,BK,24, 268 
2010,Jan,BK,GP, 109 
2010,Jan,BK,BP, 75 
2010,Jan,BK,DC, 106 
2010,Jan,BK,CM, 33 
2010,Jan,BK,CV, 51 
2010,Jan,BK,ED, 126 
2010,Jan,BK,NC, 32 
2010,Jan,BK,WP, 79 
2010,Jan,BK,SS, 27 
2010,Jan,BK,SB, 25 
2010,Jan,BK,SO, 125 
2010,Jan,BK,MB, 126 
2010,Jan,AS,RM, 80 
2010,Jan,AS,EN, 123 
2010,Jan,AS,EP, 70 
2010,Jan,AS,NB, 53 
2010,Jan,AS,BK, 325 
2010,Jan,AS,AS, 4 
2010,Jan,AS,MA, 83 
2010,Jan,AS,19, 171 
2010,Jan,AS,12, 213 
2010,Jan,AS,LM, 63 
2010,Jan,AS,FV, 105 
2010,Jan,AS,CL, 90 
2010,Jan,AS,SL, 38 
2010,Jan,AS,BF, 37 
2010,Jan,AS,HY, 50 
2010,Jan,AS,SH, 17 
2010,Jan,AS,UC, 29 
2010,Jan,AS,FM, 57 
2010,Jan,AS,CN, 24 
2010,Jan,AS,PH, 21 
2010,Jan,AS,WC, 29 
2010,Jan,AS,LF, 9 
2010,Jan,AS,OR, 10 
2010,Jan,AS,RR, 21 
2010,Jan,AS,OW, 37 
2010,Jan,AS,EM, 542 
2010,Jan,AS,MT, 487 
2010,Jan,AS,PL, 287 
2010,Jan,AS,CC, 351 
2010,Jan,AS,16, 155 
2010,Jan,AS,24, 108 
2010,Jan,AS,GP, 30 
2010,Jan,AS,BP, 44 
2010,Jan,AS,DC, 32 
2010,Jan,AS,CM, 7 
2010,Jan,AS,CV, 10 
2010,Jan,AS,ED, 26 
2010,Jan,AS,NC, 5 
2010,Jan,AS,WP, 26 
2010,Jan,AS,SS, 7 
2010,Jan,AS,SB, 7 
2010,Jan,AS,SO, 39 
2010,Jan,AS,MB, 21 
2010,Jan,MA,RM, 142 
2010,Jan,MA,EN, 264 
2010,Jan,MA,EP, 121 
2010,Jan,MA,NB, 86 
2010,Jan,MA,BK, 428 
2010,Jan,MA,AS, 82 
2010,Jan,MA,MA, 10 
2010,Jan,MA,19, 142 
2010,Jan,MA,12, 229 
2010,Jan,MA,LM, 82 
2010,Jan,MA,FV, 179 
2010,Jan,MA,CL, 207 
2010,Jan,MA,SL, 121 
2010,Jan,MA,BF, 113 
2010,Jan,MA,HY, 118 
2010,Jan,MA,SH, 68 
2010,Jan,MA,UC, 83 
2010,Jan,MA,FM, 137 
2010,Jan,MA,CN, 135 
2010,Jan,MA,PH, 110 
2010,Jan,MA,WC, 122 
2010,Jan,MA,LF, 48 
2010,Jan,MA,OR, 39 
2010,Jan,MA,RR, 67 
2010,Jan,MA,OW, 72 
2010,Jan,MA,EM, 894 
2010,Jan,MA,MT, 850 
2010,Jan,MA,PL, 596 
2010,Jan,MA,CC, 595 
2010,Jan,MA,16, 265 
2010,Jan,MA,24, 190 
2010,Jan,MA,GP, 80 
2010,Jan,MA,BP, 87 
2010,Jan,MA,DC, 85 
2010,Jan,MA,CM, 25 
2010,Jan,MA,CV, 29 
2010,Jan,MA,ED, 80 
2010,Jan,MA,NC, 41 
2010,Jan,MA,WP, 189 
2010,Jan,MA,SS, 21 
2010,Jan,MA,SB, 24 
2010,Jan,MA,SO, 71 
2010,Jan,MA,MB, 39 
2010,Jan,19,RM, 134 
2010,Jan,19,EN, 420 
2010,Jan,19,EP, 225 
2010,Jan,19,NB, 206 
2010,Jan,19,BK, 428 
2010,Jan,19,AS, 171 
2010,Jan,19,MA, 157 
2010,Jan,19,19, 10 
2010,Jan,19,12, 63 
2010,Jan,19,LM, 43 
2010,Jan,19,FV, 146 
2010,Jan,19,CL, 193 
