Year,Month,Entry,Exit,Riders
2021,Jan,RM,RM, 6 
2021,Jan,RM,EN, 27 
2021,Jan,RM,EP, 25 
2021,Jan,RM,NB, 20 
2021,Jan,RM,BK, 76 
2021,Jan,RM,AS, 22 
2021,Jan,RM,MA, 42 
2021,Jan,RM,19, 23 
2021,Jan,RM,12, 38 
2021,Jan,RM,LM, 8 
2021,Jan,RM,FV, 24 
2021,Jan,RM,CL, 26 
2021,Jan,RM,SL, 13 
2021,Jan,RM,BF, 8 
2021,Jan,RM,HY, 10 
2021,Jan,RM,SH, 8 
2021,Jan,RM,UC, 4 
2021,Jan,RM,FM, 5 
2021,Jan,RM,CN, 7 
2021,Jan,RM,PH, 2 
2021,Jan,RM,WC, 7 
2021,Jan,RM,LF, 2 
2021,Jan,RM,OR, 3 
2021,Jan,RM,RR, 5 
2021,Jan,RM,OW, 8 
2021,Jan,RM,EM, 78 
2021,Jan,RM,MT, 92 
2021,Jan,RM,PL, 92 
2021,Jan,RM,CC, 72 
2021,Jan,RM,16, 50 
2021,Jan,RM,24, 54 
2021,Jan,RM,GP, 12 
2021,Jan,RM,BP, 19 
2021,Jan,RM,DC, 10 
2021,Jan,RM,CM, 4 
2021,Jan,RM,CV, 2 
2021,Jan,RM,ED, 3 
2021,Jan,RM,NC, 1 
2021,Jan,RM,WP, 3 
2021,Jan,RM,SS, 5 
2021,Jan,RM,SB, 9 
2021,Jan,RM,SO, 5 
2021,Jan,RM,MB, 4 
2021,Jan,RM,WD, 1 
2021,Jan,RM,OA, 1 
2021,Jan,RM,WS, 4 
2021,Jan,RM,ML, 2 
2021,Jan,RM,BE, 2 
2021,Jan,RM,PC, 3 
2021,Jan,RM,AN, 3 
2021,Jan,EN,RM, 25 
2021,Jan,EN,EN, 10 
2021,Jan,EN,EP, 14 
2021,Jan,EN,NB, 17 
2021,Jan,EN,BK, 98 
2021,Jan,EN,AS, 30 
2021,Jan,EN,MA, 47 
2021,Jan,EN,19, 37 
2021,Jan,EN,12, 62 
2021,Jan,EN,LM, 17 
2021,Jan,EN,FV, 36 
2021,Jan,EN,CL, 24 
2021,Jan,EN,SL, 15 
2021,Jan,EN,BF, 11 
2021,Jan,EN,HY, 12 
2021,Jan,EN,SH, 7 
2021,Jan,EN,UC, 7 
2021,Jan,EN,FM, 10 
2021,Jan,EN,CN, 7 
2021,Jan,EN,PH, 4 
2021,Jan,EN,WC, 8 
2021,Jan,EN,LF, 2 
2021,Jan,EN,OR, 2 
2021,Jan,EN,RR, 6 
2021,Jan,EN,OW, 9 
2021,Jan,EN,EM, 128 
2021,Jan,EN,MT, 136 
2021,Jan,EN,PL, 133 
2021,Jan,EN,CC, 114 
2021,Jan,EN,16, 56 
2021,Jan,EN,24, 60 
2021,Jan,EN,GP, 16 
2021,Jan,EN,BP, 20 
2021,Jan,EN,DC, 15 
2021,Jan,EN,CM, 7 
2021,Jan,EN,CV, 0 
2021,Jan,EN,ED, 7 
2021,Jan,EN,NC, 1 
2021,Jan,EN,WP, 7 
2021,Jan,EN,SS, 7 
2021,Jan,EN,SB, 8 
2021,Jan,EN,SO, 13 
2021,Jan,EN,MB, 10 
2021,Jan,EN,WD, 2 
2021,Jan,EN,OA, 2 
2021,Jan,EN,WS, 4 
2021,Jan,EN,ML, 3 
2021,Jan,EN,BE, 5 
2021,Jan,EN,PC, 2 
2021,Jan,EN,AN, 2 
2021,Jan,EP,RM, 20 
2021,Jan,EP,EN, 14 
2021,Jan,EP,EP, 3 
2021,Jan,EP,NB, 13 
2021,Jan,EP,BK, 65 
2021,Jan,EP,AS, 14 
2021,Jan,EP,MA, 20 
2021,Jan,EP,19, 18 
2021,Jan,EP,12, 33 
2021,Jan,EP,LM, 9 
2021,Jan,EP,FV, 13 
2021,Jan,EP,CL, 7 
2021,Jan,EP,SL, 7 
2021,Jan,EP,BF, 4 
2021,Jan,EP,HY, 3 
2021,Jan,EP,SH, 4 
2021,Jan,EP,UC, 5 
2021,Jan,EP,FM, 4 
2021,Jan,EP,CN, 4 
2021,Jan,EP,PH, 1 
2021,Jan,EP,WC, 2 
2021,Jan,EP,LF, 1 
2021,Jan,EP,OR, 0 
2021,Jan,EP,RR, 4 
2021,Jan,EP,OW, 2 
2021,Jan,EP,EM, 44 
2021,Jan,EP,MT, 42 
2021,Jan,EP,PL, 45 
2021,Jan,EP,CC, 39 
2021,Jan,EP,16, 14 
2021,Jan,EP,24, 14 
2021,Jan,EP,GP, 3 
2021,Jan,EP,BP, 5 
2021,Jan,EP,DC, 2 
2021,Jan,EP,CM, 1 
2021,Jan,EP,CV, 2 
2021,Jan,EP,ED, 2 
2021,Jan,EP,NC, 1 
2021,Jan,EP,WP, 2 
2021,Jan,EP,SS, 2 
2021,Jan,EP,SB, 1 
2021,Jan,EP,SO, 3 
2021,Jan,EP,MB, 3 
2021,Jan,EP,WD, 1 
2021,Jan,EP,OA, 1 
2021,Jan,EP,WS, 1 
2021,Jan,EP,ML, 2 
2021,Jan,EP,BE, 1 
2021,Jan,EP,PC, 1 
2021,Jan,EP,AN, 1 
2021,Jan,NB,RM, 19 
2021,Jan,NB,EN, 16 
2021,Jan,NB,EP, 13 
2021,Jan,NB,NB, 3 
2021,Jan,NB,BK, 12 
2021,Jan,NB,AS, 6 
2021,Jan,NB,MA, 12 
2021,Jan,NB,19, 11 
2021,Jan,NB,12, 10 
2021,Jan,NB,LM, 8 
2021,Jan,NB,FV, 17 
2021,Jan,NB,CL, 10 
2021,Jan,NB,SL, 6 
2021,Jan,NB,BF, 6 
2021,Jan,NB,HY, 5 
2021,Jan,NB,SH, 1 
2021,Jan,NB,UC, 1 
2021,Jan,NB,FM, 2 
2021,Jan,NB,CN, 2 
2021,Jan,NB,PH, 3 
2021,Jan,NB,WC, 4 
2021,Jan,NB,LF, 1 
2021,Jan,NB,OR, 0 
2021,Jan,NB,RR, 1 
2021,Jan,NB,OW, 2 
2021,Jan,NB,EM, 30 
2021,Jan,NB,MT, 26 
2021,Jan,NB,PL, 21 
2021,Jan,NB,CC, 21 
2021,Jan,NB,16, 12 
2021,Jan,NB,24, 11 
2021,Jan,NB,GP, 3 
2021,Jan,NB,BP, 2 
2021,Jan,NB,DC, 5 
2021,Jan,NB,CM, 1 
2021,Jan,NB,CV, 0 
2021,Jan,NB,ED, 2 
2021,Jan,NB,NC, 1 
2021,Jan,NB,WP, 3 
2021,Jan,NB,SS, 1 
2021,Jan,NB,SB, 1 
2021,Jan,NB,SO, 2 
2021,Jan,NB,MB, 1 
2021,Jan,NB,WD, 0 
2021,Jan,NB,OA, 1 
2021,Jan,NB,WS, 3 
2021,Jan,NB,ML, 1 
2021,Jan,NB,BE, 1 
2021,Jan,NB,PC, 0 
2021,Jan,NB,AN, 1 
2021,Jan,BK,RM, 66 
2021,Jan,BK,EN, 92 
2021,Jan,BK,EP, 66 
2021,Jan,BK,NB, 12 
2021,Jan,BK,BK, 7 
2021,Jan,BK,AS, 26 
2021,Jan,BK,MA, 30 
2021,Jan,BK,19, 32 
2021,Jan,BK,12, 33 
2021,Jan,BK,LM, 12 
2021,Jan,BK,FV, 41 
2021,Jan,BK,CL, 26 
2021,Jan,BK,SL, 18 
2021,Jan,BK,BF, 17 
2021,Jan,BK,HY, 13 
2021,Jan,BK,SH, 8 
2021,Jan,BK,UC, 12 
