Year,Month,Entry,Exit,Riders
2009,Jan,NB,CV, 5 
2009,Jan,NB,ED, 17 
2009,Jan,NB,NC, 2 
2009,Jan,NB,WP, 11 
2009,Jan,NB,SS, 6 
2009,Jan,NB,SB, 8 
2009,Jan,NB,SO, 50 
2009,Jan,NB,MB, 23 
2009,Jan,BK,RM, 391 
2009,Jan,BK,EN, 908 
2009,Jan,BK,EP, 649 
2009,Jan,BK,NB, 195 
2009,Jan,BK,BK, 17 
2009,Jan,BK,AS, 326 
2009,Jan,BK,MA, 450 
2009,Jan,BK,19, 431 
2009,Jan,BK,12, 487 
2009,Jan,BK,LM, 252 
2009,Jan,BK,FV, 293 
2009,Jan,BK,CL, 213 
2009,Jan,BK,SL, 152 
2009,Jan,BK,BF, 142 
2009,Jan,BK,HY, 142 
2009,Jan,BK,SH, 93 
2009,Jan,BK,UC, 144 
2009,Jan,BK,FM, 300 
2009,Jan,BK,CN, 117 
2009,Jan,BK,PH, 153 
2009,Jan,BK,WC, 149 
2009,Jan,BK,LF, 86 
2009,Jan,BK,OR, 66 
2009,Jan,BK,RR, 72 
2009,Jan,BK,OW, 84 
2009,Jan,BK,EM, 856 
2009,Jan,BK,MT, 681 
2009,Jan,BK,PL, 756 
2009,Jan,BK,CC, 535 
2009,Jan,BK,16, 275 
2009,Jan,BK,24, 269 
2009,Jan,BK,GP, 109 
2009,Jan,BK,BP, 105 
2009,Jan,BK,DC, 120 
2009,Jan,BK,CM, 36 
2009,Jan,BK,CV, 57 
2009,Jan,BK,ED, 138 
2009,Jan,BK,NC, 34 
2009,Jan,BK,WP, 86 
2009,Jan,BK,SS, 26 
2009,Jan,BK,SB, 25 
2009,Jan,BK,SO, 106 
2009,Jan,BK,MB, 121 
2009,Jan,AS,RM, 97 
2009,Jan,AS,EN, 164 
2009,Jan,AS,EP, 80 
2009,Jan,AS,NB, 60 
2009,Jan,AS,BK, 383 
2009,Jan,AS,AS, 6 
2009,Jan,AS,MA, 104 
2009,Jan,AS,19, 199 
2009,Jan,AS,12, 246 
2009,Jan,AS,LM, 91 
2009,Jan,AS,FV, 118 
2009,Jan,AS,CL, 119 
2009,Jan,AS,SL, 48 
2009,Jan,AS,BF, 48 
2009,Jan,AS,HY, 50 
2009,Jan,AS,SH, 22 
2009,Jan,AS,UC, 25 
2009,Jan,AS,FM, 63 
2009,Jan,AS,CN, 31 
2009,Jan,AS,PH, 24 
2009,Jan,AS,WC, 33 
2009,Jan,AS,LF, 11 
2009,Jan,AS,OR, 10 
2009,Jan,AS,RR, 23 
2009,Jan,AS,OW, 47 
2009,Jan,AS,EM, 587 
2009,Jan,AS,MT, 517 
2009,Jan,AS,PL, 319 
2009,Jan,AS,CC, 354 
2009,Jan,AS,16, 143 
2009,Jan,AS,24, 107 
2009,Jan,AS,GP, 29 
2009,Jan,AS,BP, 51 
2009,Jan,AS,DC, 46 
2009,Jan,AS,CM, 8 
2009,Jan,AS,CV, 11 
2009,Jan,AS,ED, 32 
2009,Jan,AS,NC, 4 
2009,Jan,AS,WP, 26 
2009,Jan,AS,SS, 4 
2009,Jan,AS,SB, 7 
2009,Jan,AS,SO, 36 
2009,Jan,AS,MB, 20 
2009,Jan,MA,RM, 138 
2009,Jan,MA,EN, 267 
2009,Jan,MA,EP, 122 
2009,Jan,MA,NB, 97 
2009,Jan,MA,BK, 494 
2009,Jan,MA,AS, 98 
2009,Jan,MA,MA, 11 
2009,Jan,MA,19, 170 
2009,Jan,MA,12, 239 
2009,Jan,MA,LM, 104 
2009,Jan,MA,FV, 195 
2009,Jan,MA,CL, 220 
2009,Jan,MA,SL, 126 
2009,Jan,MA,BF, 117 
2009,Jan,MA,HY, 137 
2009,Jan,MA,SH, 65 
2009,Jan,MA,UC, 75 
2009,Jan,MA,FM, 135 
2009,Jan,MA,CN, 128 
2009,Jan,MA,PH, 106 
2009,Jan,MA,WC, 124 
2009,Jan,MA,LF, 41 
2009,Jan,MA,OR, 42 
2009,Jan,MA,RR, 77 
2009,Jan,MA,OW, 84 
2009,Jan,MA,EM, 930 
2009,Jan,MA,MT, 862 
2009,Jan,MA,PL, 622 
2009,Jan,MA,CC, 604 
2009,Jan,MA,16, 242 
2009,Jan,MA,24, 170 
2009,Jan,MA,GP, 66 
2009,Jan,MA,BP, 91 
2009,Jan,MA,DC, 76 
2009,Jan,MA,CM, 25 
2009,Jan,MA,CV, 27 
2009,Jan,MA,ED, 73 
2009,Jan,MA,NC, 42 
2009,Jan,MA,WP, 174 
2009,Jan,MA,SS, 21 
2009,Jan,MA,SB, 21 
2009,Jan,MA,SO, 66 
